,LeadTime,ArrivalDateMonth,StaysInWeekendNights,StaysInWeekNights,Adults,Children,Babies,Meal,Country,MarketSegment,DistributionChannel,IsRepeatedGuest,PreviousCancellations,PreviousBookingsNotCanceled,ReservedRoomType,BookingChanges,DepositType,Agent,Company,CustomerType,ADR,RequiredCarParkingSpaces,TotalOfSpecialRequests,ReservationStatus,ChangedRoom,StayChanges,ReservationMonth
21703,102.0,December,1,3,2.0,0.0,0.0,BB,Spain,Online TA,TA/TO,0,0,0,Other,2+,No Deposit,Agent_A,no_Company,Transient-Party,110.34,0,0,Canceled,0,No Changes,September
46504,8.0,April,0,1,1.0,0.0,0.0,BB,National,Online TA,TA/TO,0,0,0,A,0,No Deposit,Agent_A,no_Company,Transient,95.0,0,1,Check-Out,0,No Changes,March
17655,219.0,September,1,2,2.0,0.0,0.0,BB,National,Groups,TA/TO,0,0,0,A,0,Non Refund,other_Agent,no_Company,Transient,120.0,0,0,Canceled,0,No Changes,February
22543,29.0,January,2,5,2.0,0.0,0.0,SC,National,Online TA,TA/TO,0,0,0,A,0,No Deposit,Agent_A,no_Company,Transient,76.42,0,1,Canceled,0,No Changes,December
76992,177.0,July,0,2,2.0,0.0,0.0,BB,United_Kingdom,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,89.0,0,1,Check-Out,0,No Changes,January
24510,52.0,March,1,1,1.0,0.0,0.0,BB,National,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,other_Agent,no_Company,Transient,80.0,0,0,Canceled,0,No Changes,January
74626,16.0,June,1,3,2.0,1.0,0.0,BB,Other_Africa,Online TA,TA/TO,0,0,0,A,0,No Deposit,Agent_A,no_Company,Transient,200.0,0,2+,Check-Out,0,No Changes,June
41931,115.0,March,2,0,1.0,0.0,0.0,BB,National,Groups,TA/TO,0,1,0,A,0,Non Refund,other_Agent,no_Company,Transient,70.0,0,0,Canceled,0,No Changes,November
68518,41.0,March,0,0,2.0,0.0,0.0,HB,National,Online TA,TA/TO,0,0,0,D,0,No Deposit,Agent_A,no_Company,Transient,0.0,0,0,Check-Out,1,No Changes,February
57144,23.0,September,2,0,2.0,0.0,0.0,SC,Other_Europe,Online TA,TA/TO,0,0,0,A,0,No Deposit,Agent_A,no_Company,Transient,89.0,0,2+,Check-Out,0,No Changes,August
36308,273.0,July,0,2,2.0,0.0,0.0,HB,National,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,Agent_E,no_Company,Transient-Party,109.0,0,0,Check-Out,0,No Changes,October
56307,0.0,September,0,1,1.0,0.0,0.0,BB,Spain,Complementary,TA/TO,0,0,0,Other,0,No Deposit,other_Agent,no_Company,Transient,0.0,0,0,Check-Out,0,No Changes,September
44616,18.0,February,2,1,1.0,0.0,0.0,HB,Other_Africa,Online TA,TA/TO,0,0,0,D,0,No Deposit,Agent_A,no_Company,Transient,145.0,0,1,Check-Out,0,No Changes,February
61633,20.0,November,2,4,2.0,1.0,0.0,BB,Other_Europe,Online TA,TA/TO,0,0,0,Other,1,No Deposit,Agent_A,no_Company,Transient,196.67,0,2+,Check-Out,0,No Changes,October
38837,34.0,October,1,0,2.0,0.0,0.0,BB,National,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,76.5,0,0,Check-Out,0,No Changes,September
59942,0.0,October,0,0,1.0,0.0,0.0,BB,National,Corporate,Corporate,1,0,0,A,0,No Deposit,no_Agent,other_Company,Transient,0.0,0,0,Check-Out,1,No Changes,October
12372,247.0,June,1,1,1.0,0.0,0.0,HB,National,Offline TA/TO,TA/TO,0,0,0,A,1,No Deposit,Agent_E,no_Company,Transient-Party,87.0,0,0,Canceled,0,No Changes,October
