alpha-3,region
AFG,Other_Asia
ALA,Other_Europe
ALB,Other_Europe
DZA,Other_Africa
ASM,Other_Oceania
AND,Other_Europe
AGO,Other_Africa
AIA,Other_Americas
ATG,Other_Americas
ARG,Other_Americas
ARM,Other_Asia
ABW,Other_Americas
AUS,Other_Oceania
AUT,Other_Europe
AZE,Other_Asia
BHS,Other_Americas
BHR,Other_Asia
BGD,Other_Asia
BRB,Other_Americas
BLR,Other_Europe
BEL,Other_Europe
BLZ,Other_Americas
BEN,Other_Africa
BMU,Other_Americas
BTN,Other_Asia
BOL,Other_Americas
BES,Other_Americas
BIH,Other_Europe
BWA,Other_Africa
BVT,Other_Americas
BRA,Other_Americas
IOT,Other_Africa
BRN,Other_Asia
BGR,Other_Europe
BFA,Other_Africa
BDI,Other_Africa
CPV,Other_Africa
KHM,Other_Asia
CMR,Other_Africa
CAN,Other_Americas
CYM,Other_Americas
CAF,Other_Africa
TCD,Other_Africa
CHL,Other_Americas
CHN,Other_Asia
CXR,Other_Oceania
CCK,Other_Oceania
COL,Other_Americas
COM,Other_Africa
COG,Other_Africa
COD,Other_Africa
COK,Other_Oceania
CRI,Other_Americas
CIV,Other_Africa
HRV,Other_Europe
CUB,Other_Americas
CUW,Other_Americas
CYP,Other_Asia
CZE,Other_Europe
DNK,Other_Europe
DJI,Other_Africa
DMA,Other_Americas
DOM,Other_Americas
ECU,Other_Americas
EGY,Other_Africa
SLV,Other_Americas
GNQ,Other_Africa
ERI,Other_Africa
EST,Other_Europe
SWZ,Other_Africa
ETH,Other_Africa
FLK,Other_Americas
FRO,Other_Europe
FJI,Other_Oceania
FIN,Other_Europe
FRA,Other_Europe
GUF,Other_Americas
PYF,Other_Oceania
ATF,Other_Africa
GAB,Other_Africa
GMB,Other_Africa
GEO,Other_Asia
DEU,Other_Europe
GHA,Other_Africa
GIB,Other_Europe
GRC,Other_Europe
GRL,Other_Americas
GRD,Other_Americas
GLP,Other_Americas
GUM,Other_Oceania
GTM,Other_Americas
GGY,Other_Europe
GIN,Other_Africa
GNB,Other_Africa
GUY,Other_Americas
HTI,Other_Americas
HMD,Other_Oceania
VAT,Other_Europe
HND,Other_Americas
HKG,Other_Asia
HUN,Other_Europe
ISL,Other_Europe
IND,Other_Asia
IDN,Other_Asia
IRN,Other_Asia
IRQ,Other_Asia
IRL,Other_Europe
IMN,Other_Europe
ISR,Other_Asia
ITA,Other_Europe
JAM,Other_Americas
JPN,Other_Asia
JEY,Other_Europe
JOR,Other_Asia
KAZ,Other_Asia
KEN,Other_Africa
KIR,Other_Oceania
PRK,Other_Asia
KOR,Other_Asia
KWT,Other_Asia
KGZ,Other_Asia
LAO,Other_Asia
LVA,Other_Europe
LBN,Other_Asia
LSO,Other_Africa
LBR,Other_Africa
LBY,Other_Africa
LIE,Other_Europe
LTU,Other_Europe
LUX,Other_Europe
MAC,Other_Asia
MDG,Other_Africa
MWI,Other_Africa
MYS,Other_Asia
MDV,Other_Asia
MLI,Other_Africa
MLT,Other_Europe
MHL,Other_Oceania
MTQ,Other_Americas
MRT,Other_Africa
MUS,Other_Africa
MYT,Other_Africa
MEX,Other_Americas
FSM,Other_Oceania
MDA,Other_Europe
MCO,Other_Europe
MNG,Other_Asia
MNE,Other_Europe
MSR,Other_Americas
MAR,Other_Africa
MOZ,Other_Africa
MMR,Other_Asia
NAM,Other_Africa
NRU,Other_Oceania
NPL,Other_Asia
NLD,Other_Europe
NCL,Other_Oceania
NZL,Other_Oceania
NIC,Other_Americas
NER,Other_Africa
NGA,Other_Africa
NIU,Other_Oceania
NFK,Other_Oceania
MKD,Other_Europe
MNP,Other_Oceania
NOR,Other_Europe
OMN,Other_Asia
PAK,Other_Asia
PLW,Other_Oceania
PSE,Other_Asia
PAN,Other_Americas
PNG,Other_Oceania
PRY,Other_Americas
PER,Other_Americas
PHL,Other_Asia
PCN,Other_Oceania
POL,Other_Europe
PRT,Other_Europe
PRI,Other_Americas
QAT,Other_Asia
REU,Other_Africa
ROU,Other_Europe
RUS,Other_Europe
RWA,Other_Africa
BLM,Other_Americas
SHN,Other_Africa
KNA,Other_Americas
LCA,Other_Americas
MAF,Other_Americas
SPM,Other_Americas
VCT,Other_Americas
WSM,Other_Oceania
SMR,Other_Europe
STP,Other_Africa
SAU,Other_Asia
SEN,Other_Africa
SRB,Other_Europe
SYC,Other_Africa
SLE,Other_Africa
SGP,Other_Asia
SXM,Other_Americas
SVK,Other_Europe
SVN,Other_Europe
SLB,Other_Oceania
SOM,Other_Africa
ZAF,Other_Africa
SGS,Other_Americas
SSD,Other_Africa
ESP,Other_Europe
LKA,Other_Asia
SDN,Other_Africa
SUR,Other_Americas
SJM,Other_Europe
SWE,Other_Europe
CHE,Other_Europe
SYR,Other_Asia
TWN,Other_Asia
TJK,Other_Asia
TZA,Other_Africa
THA,Other_Asia
TLS,Other_Asia
TGO,Other_Africa
TKL,Other_Oceania
TON,Other_Oceania
TTO,Other_Americas
TUN,Other_Africa
TUR,Other_Asia
TKM,Other_Asia
TCA,Other_Americas
TUV,Other_Oceania
UGA,Other_Africa
UKR,Other_Europe
ARE,Other_Asia
GBR,Other_Europe
USA,Other_Americas
UMI,Other_Oceania
URY,Other_Americas
UZB,Other_Asia
VUT,Other_Oceania
VEN,Other_Americas
VNM,Other_Asia
VGB,Other_Americas
VIR,Other_Americas
WLF,Other_Oceania
ESH,Other_Africa
YEM,Other_Asia
ZMB,Other_Africa
ZWE,Other_Africa
